职位名称,详细链接,公司名称,工作地点,薪资,发布时间,职位信息
网络爬虫工程师,https://jobs.51job.com/shanghai-pdxq/119360868.html?s=01&t=6,“前程无忧”51job.com（上海）,上海-浦东新区,,03-15,岗位职责：    1.负责爬虫系统的设计与开发，监控与维护。    2.负责研究、优化爬虫算法，提升爬虫系统的稳定性、可扩展性；    3.负责设计爬虫策略和防屏蔽规则，提升效率和质量；    4.能独立解决实际过程中遇到的各种问题；    5.负责日常的数据采集工作，积极响应业务需求。        任职要求：    1.计算机相关专业，本科以上学历；    2.具有1年以上爬虫工作经验，需要有实际的网站数据爬取案例；    3.熟练掌握Python、C#、JavaScript语言，熟悉Scrapy、PySpider等爬虫框架；    4.熟练掌握SQL Server数据库的应用；    5.具有Linux操作系统、MongoDB等文本数据库使用经验者优先。
Python开发工程师,https://jobs.51job.com/shanghai-ypq/120946896.html?s=01&t=0,北京硬盒科技有限公司,上海-杨浦区,1-1.5万/月,03-26,岗位职责：1、负责业务相关的数据分析和数据挖掘工作2、负责日常数据提取和报表开发工作3、参与/负责风控数据平台的设计，研发与维护4、参与跨部门需求沟通和数据校验任职要求：1，熟悉Python，至少熟悉一种Python的后台开发工具，例如Django、Flask等2，熟悉js，至少熟悉一种常见的前端开发框架，例如Vue、React等3，至少熟悉一种常见的数据库，例如MySQL、PG等4，3年以上工作经验，本科以上学历，沟通能力优秀加分项：1，了解一种异步任务处理框架，例如Celery等2，了解一种分布式存储系统，例如HDFS、Ceph等3，了解一种分布式计算系统，例如MapReduce、Spark等4，了解一种配置管理系统，例如saltstack、puppey、ansible等5.有产品开发规划经验
Python开发工程师,https://jobs.51job.com/shanghai-pdxq/120944265.html?s=01&t=0,四衡商务信息咨询（上海）有限公司...,上海-浦东新区,1-1.5万/月,03-26,"1.&nbsp;根据产品或项目的要求，参与业务分析和系统设计；2.完成编程、调试和单元测试工作；3.负责相关开发文档的编写；职位要求1.&nbsp;本科以上学历，&nbsp;计算机相关专业毕业；2&nbsp;个以上完整项目经验；2.有至少2年以上&nbsp;Python&nbsp;开发经验，能独立解决开发过程中遇到的各种问题；3.了解&nbsp;HTTP&nbsp;协议,&nbsp;有&nbsp;Web&nbsp;应用程序开发经验;4.了解数据库原理,&nbsp;至少熟悉&nbsp;MySQL&nbsp;数据库;5熟悉EPR进销存等业务,有ERP开发经验6.熟悉&nbsp;TCP/IP&nbsp;协议,&nbsp;有网络服务编程经验者优先;7.有丰富数据库使用经验者优先;8.有电商行业ERP供应链开发者优先"
Python爬虫工程师,https://jobs.51job.com/shanghai-xhq/120942234.html?s=01&t=0,上海大岂网络科技有限公司,上海-徐汇区,1.5-2.2万/月,03-26,2、负责持续运营和更新爬虫以及数据。3、负责爬虫的性能优化，如：处理性能，爬取策略，占用带宽，反爬虫机制等方面。4、能够在一定程度上统计和分析爬虫数据。职位要求：任职要求：1、本科及以上学历，3年及以上相关工作经验；2、掌握网络爬虫开发原理，对互联网各种类型数据交互模式熟悉，知道如何处理需登录网站、动态网页等各种情况下的数据采集方法；3、精通html语言，熟悉开源工具，熟悉基于正则表达式、XPath等的信息抽取技术；4、具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于分析问题/解决问题；5、具备良好的沟通能力和团队协作能力，有一定的抗压能力。123
Python开发工程师,https://jobs.51job.com/shanghai-pdxq/120941553.html?s=01&t=0,上海华依科技集团股份有限公司,上海-浦东新区,0.8-1.5万/月,03-26,工作职责：1、参与负责公司网站开发，维护，架构设计，能够根据需求完成相应的功能开发。2、具有数据分析能力以及完成各种数据交互和可视化。3、能够解决开发中遇到的技术问题。任职要求：1、全日制大学本科及以上学历，计算机或相关专业，热爱计算机科学和互联网技术，至少2年python开发工作经验。2、精通python和SQL语言、及数据库操作等，并有扎实的基础知识。3、熟悉Django，Flask等后端框架，了解websocket，&nbsp;有扎实的开发基础，有相关项目经验并能展示者优先。4、了解git或svn等版本管理软件；了解linux系统基础知识；5、对python数据分析常用库numpy、pandas等有所了解。6、具有良好的编程习惯，逻辑思路清晰，能够乐于讨论问题并分享知识，对新技术感兴趣，能够主动学习新技术。7、良好的团队合作与沟通能力，责任心强，能够承受一定的工作压力。
Python高级研发人员,https://jobs.51job.com/shanghai-sjq/120941292.html?s=01&t=0,上海橘澄信息科技有限公司,上海-松江区,1-2万/月,03-26,"岗位职责：1.2年以上Python开发经验，具备常用web框架（如Django，Flask等）开发经验，能够进行数据自动化报表的开发，其中涉及到数据爬虫、数据清洗、数据入库、指标加工计算、数据图表绘制等2.对前端开发有过至少1年以上前端开发经验，熟练掌握ext.js，如Html, CSS5，熟悉JS等.熟悉Web页面在各种终端主流浏览器 兼容适配和性能优化；3.负责数据抽取、转换、加载脚本的开发与测试4.数据的采集、分类处理、存储的架构设计、研发。任职要求：1.数学、统计、计算机等相关专业本科及以上学历。2.Python基础扎实，掌握常见数据结构、算法.能够使用python开发网络爬虫、进行数据分析处理等方面的开发3.熟练使用sql语句，能够编写程序建表和数据入库；4.对web前端技术（如html、js、css等）有一定的了解，了解ECharts者优先。5.有企业数据分析相关项目经验者优先；6.善于思考，逻辑思维能力强，具备良好的沟通能力和团队合作精神"
Python全栈工程师,https://jobs.51job.com/shanghai-mhq/109925368.html?s=01&t=0,上海沪源医药有限公司,上海-闵行区,0.8-1.6万/月,03-26,因为行业特点，所有岗位待遇从优，具体面议岗位描述：&nbsp; &nbsp; 负责公司内部web项目全栈开发&nbsp; &nbsp; &nbsp; &nbsp;任职要求：3年以上Web开发经验熟练使用js(ts)/css(less)/html，熟悉Vue/JQuery/Bootstrap熟练使用Django，熟悉Flask熟练使用SQL Server / Oracle / MySQL / PG之一熟练使用Redis，熟悉MongoDB有OA系统开发经验优先熟悉TensoFlow/PyTorch优先除Python 外，熟悉一门或多门编程语言（如：C# / Java）&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Python开发工程师,https://jobs.51job.com/shanghai-pdxq/120928430.html?s=01&t=0,上海亚太神通计算机有限公司,上海-浦东新区,1-1.5万/月,03-26,1. 熟练Python开发，熟悉面向对象知识和软件设计模式，常用的数据结构和算法，正则表达式&nbsp;&nbsp;2. 熟练Django/Django Rest Framework/Celery，至少2年实际开发经验3. MySQL增删改查，数据库的基础运维工作，包括日志管理/用户管理/权限管理等4. 熟悉Linux常用命令，常见的网络服务Apache/Tomcat/Nginx5. 会常用的DevOps工具及接口二次开发，包括Ansible/Gitlab/Jenkins6. 有HTTP协议基础，能写出规范的Restful API接口7. 了解HTML/CSS/JS/jQuery，Bootstrap库
Python开发工程师,https://jobs.51job.com/shanghai/120151300.html?s=01&t=0,上海治熵信息科技有限公司,上海,1-1.5万/月,03-26,"本岗位为外包 非诚勿扰职位描述1.&nbsp;根据产品或项目的要求，参与业务分析和系统设计；2.完成编程、调试和单元测试工作；3.负责相关开发文档的编写；职位要求1.&nbsp;本科以上学历，&nbsp;计算机相关专业毕业；2&nbsp;个以上完整项目经验；2.有至少三年以上&nbsp;Python&nbsp;开发经验，能独立解决开发过程中遇到的各种问题；3.熟悉&nbsp;Django,&nbsp;了解&nbsp;HTTP&nbsp;协议,&nbsp;有&nbsp;Web&nbsp;应用程序开发经验;4.了解数据库原理,&nbsp;至少熟悉&nbsp;MySQL&nbsp;数据库,至少了解一种&nbsp;NoSQL&nbsp;数据库;5.熟悉&nbsp;Linux,&nbsp;对&nbsp;CentOS&nbsp;有深入了解;6.熟悉&nbsp;TCP/IP&nbsp;协议,&nbsp;有网络服务编程经验者优先;7.有丰富数据库使用经验者优先;8.有&nbsp;JAVA&nbsp;开发经验者优先；9.良好的编码风格和编程习惯，对高质量的代码有执着的追求;熟练掌握&nbsp;SVN，Git&nbsp;等代码版本管理工具的使用;10.&nbsp;良好的团队精神和沟通能力，高度的事业心和责任感，工作认真负责，具有良好的职业操守。"
Python高级开发工程师,https://jobs.51job.com/shanghai-jaq/119550207.html?s=01&t=0,上海辞书出版社有限公司,上海-静安区,20-30万/年,03-26,岗位职责：1.负责自然语言处理，文本挖掘，机器学习等工作;2.从事数学建模及数据挖掘应用方法研究;3.根据业务需求，研究开发相关算法模型任职要求：1.重点全日制本科及以上学历，计算机或数学相关专业；2.4~5年以上相关工作经验，熟悉Python编程语言，具备Python算法设计与程序开发能力；3.熟悉数据结构，具备清晰的编程思路、良好的编码风格，能胜任复杂模块的编码；4.对NLP有较深入的研究；5.熟悉深度学习工具Tensoerflow /Caffe/Torch者优先；6.必须在(文本分析，语义分析，语义计算)有一个或多个作品。7.具备良好的沟通协调能力和团队合作意识，工作踏实，态度积极，能够承受工作压力8.有较强的软件开发功底，能按时并高效完成既定计划；9.具有良好的职业素质，忠诚可靠、诚信守法。
